"Производитель: E[DANTEX];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.25];  (Сплит система) Теплопроизводительность: N[2.35];  (Сплит система) Площадь помещения: N[22.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.7];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.651];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[744 x 254 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[38/35/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720 x 428 x 310];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от +18 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -7 до +24]"
"Производитель: E[DANTEX];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.2];  (Сплит система) Теплопроизводительность: N[2.35];  (Сплит система) Площадь помещения: N[22];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.684];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.649];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[715 x 285 x 194];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[36.5/33/28.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700 x 550 x 275];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.3];  (Наружный блок) Максимальный уровень шума: N[52];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[8];  (Допустимая темп. наружного воздуха) Охлаждение: S[от +18 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -7 до +24]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[5.3];  (Сплит система) Теплопроизводительность: N[5.802];  (Сплит система) Площадь помещения: N[53];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1189 x 260 x 643];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[33];  (Внутренний блок) Уровень шума мин. / макс.: S[48/44/40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[866 x 535 x 304];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[41];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[5.3];  (Сплит система) Теплопроизводительность: N[5.9];  (Сплит система) Площадь помещения: N[53];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[920 x 210 x 605];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[43/35/32];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[780 x 605 x 290];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[38];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[15];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[5.15];  (Сплит система) Теплопроизводительность: N[5.6];  (Сплит система) Площадь помещения: N[51.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1000 x 200 x 450];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[24];  (Внутренний блок) Уровень шума мин. / макс.: S[32/30/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[761 x 548 x 256];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[39];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.55];  (Сплит система) Теплопроизводительность: N[2.65];  (Сплит система) Площадь помещения: N[25.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.794];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.734];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[744 x 254 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[38/35/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720 x 428 x 310];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[24.5];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от +18 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -7 до +24]"
"Производитель: E[DANTEX];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.64];  (Сплит система) Теплопроизводительность: N[2.78];  (Сплит система) Площадь помещения: N[26.4];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.821];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.771];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[715 x 285 x 194];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[41/36/26.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700 x 550 x 275];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26.4];  (Наружный блок) Максимальный уровень шума: N[56];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[8];  (Допустимая темп. наружного воздуха) Охлаждение: S[от +18 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -7 до +24]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[7.03];  (Сплит система) Теплопроизводительность: N[7.619];  (Сплит система) Площадь помещения: N[70.3];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1189 x 260 x 643];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[33];  (Внутренний блок) Уровень шума мин. / макс.: S[48/44/40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[930 x 700 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[7.2];  (Сплит система) Теплопроизводительность: N[7.9];  (Сплит система) Площадь помещения: N[72];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[920 x 270 x 605];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[46/43/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[900 x 650 x 310];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[15];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Теплопроизводительность: N[7.2];  (Сплит система) Площадь помещения: N[71];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1300 x 220 x 450];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[31];  (Внутренний блок) Уровень шума мин. / макс.: S[22/30/28];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[955 x 395 x 700];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[59];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[DANTEX];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[3.25];  (Сплит система) Теплопроизводительность: N[3.4];  (Сплит система) Площадь помещения: N[32.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.012];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.941];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[R410a];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[819 x 254 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[38/35/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[782 x 540 x 320];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[30];  (Наружный блок) Максимальный уровень шума: N[52];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от +18 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -7 до +24]"
