"Производитель: E[267800];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[10];  (Сплит система) Теплопроизводительность: N[10.6];  (Сплит система) Площадь помещения: N[100];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.99];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.79];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi с двумя роторами];  (Наружный блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[94];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[339400];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[12.5];  (Сплит система) Теплопроизводительность: N[13];  (Сплит система) Площадь помещения: N[125];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[3.66];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[3.54];  (Рабочий ток) Напряжение / Частота источника питания: S[1/380/50];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1350 x 950 x 370];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[108];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi с двумя роторами];  (Наружный блок) Размеры (Ш x Г x В): S[1350 x 950 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[121];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[371800];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[13.4];  (Сплит система) Теплопроизводительность: N[15];  (Сплит система) Площадь помещения: N[134];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.05];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.15];  (Рабочий ток) Напряжение / Частота источника питания: S[3/380/50];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1350 x 950 x 370];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[32];  (Внутренний блок) Уровень шума мин. / макс.: S[53];  (Наружный блок) Марка компрессора: S[Mitsubishi с двумя роторами];  (Наружный блок) Размеры (Ш x Г x В): S[1350 x 950 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[38];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[24000];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Теплопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.73];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.635];  (Рабочий ток) Напряжение / Частота источника питания: S[220/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Внутренний блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Внутренний блок) Масса (нетто / брутто): S[21.6];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Rechi];  (Наружный блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Наружный блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Наружный блок) Масса (нетто / брутто): S[24.2];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[25700];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[2.4];  (Сплит система) Теплопроизводительность: N[2.4];  (Сплит система) Площадь помещения: N[24];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.885];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.747];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Внутренний блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Внутренний блок) Масса (нетто / брутто): S[24.8];  (Внутренний блок) Уровень шума мин. / макс.: S[53];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Наружный блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Наружный блок) Масса (нетто / брутто): S[27.4];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15/10];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[31200];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[3.2];  (Сплит система) Теплопроизводительность: N[3.25];  (Сплит система) Площадь помещения: N[32];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.92];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Внутренний блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Внутренний блок) Масса (нетто / брутто): S[28.1];  (Внутренний блок) Уровень шума мин. / макс.: S[53];  (Наружный блок) Марка компрессора: S[QingAn];  (Наружный блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Наружный блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Наружный блок) Масса (нетто / брутто): S[30.2];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15/10];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[68800];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[6.8];  (Сплит система) Теплопроизводительность: N[7.2];  (Сплит система) Площадь помещения: N[68];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.195];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.995];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Внутренний блок) Упаковка (Ш x Г x В): S[995 x 420 x 813];  (Внутренний блок) Масса (нетто / брутто): S[56];  (Внутренний блок) Уровень шума мин. / макс.: S[56];  (Наружный блок) Марка компрессора: S[Panasonic];  (Наружный блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Наружный блок) Упаковка (Ш x Г x В): S[995 x 420 x 813];  (Наружный блок) Масса (нетто / брутто): S[60];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[25/15];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[50400];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[5];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.78];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.385];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 245 x 540];  (Внутренний блок) Упаковка (Ш x Г x В): S[920 x 351 x 620];  (Внутренний блок) Масса (нетто / брутто): S[35.3];  (Внутренний блок) Уровень шума мин. / макс.: S[54];  (Наружный блок) Марка компрессора: S[Rechi];  (Наружный блок) Размеры (Ш x Г x В): S[780 x 245 x 540];  (Наружный блок) Упаковка (Ш x Г x В): S[920 x 351 x 620];  (Наружный блок) Масса (нетто / брутто): S[39.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25/15];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[53100];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[3.3];  (Сплит система) Теплопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[33];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.96];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Внутренний блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Внутренний блок) Масса (нетто / брутто): S[27];  (Внутренний блок) Уровень шума мин. / макс.: S[53];  (Наружный блок) Марка компрессора: S[QingAn];  (Наружный блок) Размеры (Ш x Г x В): S[696 x 256 x 432];  (Наружный блок) Упаковка (Ш x Г x В): S[848 x 363 x 515];  (Наружный блок) Масса (нетто / брутто): S[29];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[15/10];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[20600];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[2.7];  (Сплит система) Теплопроизводительность: N[2.8];  (Сплит система) Площадь помещения: N[27];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[855 x 200 x 280];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 279 x 355];  (Внутренний блок) Масса (нетто / брутто): S[10];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[855 x 200 x 280];  (Наружный блок) Упаковка (Ш x Г x В): S[954 x 279 x 355];  (Наружный блок) Масса (нетто / брутто): S[12.2];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[23300];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[3.6];  (Сплит система) Теплопроизводительность: N[3.7];  (Сплит система) Площадь помещения: N[36];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[855 x 200 x 280];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 279 x 355];  (Внутренний блок) Масса (нетто / брутто): S[10];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[855 x 200 x 280];  (Наружный блок) Упаковка (Ш x Г x В): S[954 x 279 x 355];  (Наружный блок) Масса (нетто / брутто): S[12.2];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
