"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[4.85];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.56];  (Потребляемая мощность) Обогрев: S[1.56];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[853*349*602];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[5.6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.75];  (Потребляемая мощность) Охлаждение: N[2.05];  (Потребляемая мощность) Обогрев: S[2.05];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[853*349*602];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[6.6];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6.8];  (Потребляемая мощность) Охлаждение: N[2.58];  (Потребляемая мощность) Обогрев: S[2.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[920*380*699];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[8.8];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8.8];  (Потребляемая мощность) Охлаждение: N[2.85];  (Потребляемая мощность) Обогрев: S[2.85];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[920*380*699];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[10.2];  (Сплит система) Площадь помещения: N[90];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[10.2];  (Потребляемая мощность) Охлаждение: N[3.5];  (Потребляемая мощность) Обогрев: S[3.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[990*340*910];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[13.1];  (Сплит система) Площадь помещения: N[120];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[13.1];  (Потребляемая мощность) Охлаждение: N[5.4];  (Потребляемая мощность) Обогрев: S[5.4];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[990*340*910];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.64];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.64];  (Потребляемая мощность) Охлаждение: N[0.821];  (Потребляемая мощность) Обогрев: S[0.795];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[715*194*258];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[42.3 / 37.0 / 33.2];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[23.1];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.2];  (Потребляемая мощность) Охлаждение: N[0.73];  (Потребляемая мощность) Обогрев: S[0.69];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[715*194*285];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[35 / 32 / 26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[22.1];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[8];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.1];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.1];  (Потребляемая мощность) Охлаждение: N[0.66];  (Потребляемая мощность) Обогрев: S[0.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[708*190*263];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[34/32/30/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.6];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.7];  (Потребляемая мощность) Охлаждение: N[0.64];  (Потребляемая мощность) Обогрев: S[0.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[708*190*263];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[36/34/30/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.2];  (Потребляемая мощность) Охлаждение: N[0.64];  (Потребляемая мощность) Обогрев: S[0.61];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[698*190*255];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
