"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[4.1];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.31];  (Потребляемая мощность) Охлаждение: N[1.25];  (Потребляемая мощность) Обогрев: S[1.16];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[853x349x602];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[31];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[5.1];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.54];  (Потребляемая мощность) Обогрев: S[1.33];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[853x349x602];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[31];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[6.2];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6.5];  (Потребляемая мощность) Охлаждение: N[1.92];  (Потребляемая мощность) Обогрев: S[1.75];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[920x380x699];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[42];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[7.9];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7.96];  (Потребляемая мощность) Охлаждение: N[2.44];  (Потребляемая мощность) Обогрев: S[2.14];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[920x380x699];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[42];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[9.4];  (Сплит система) Площадь помещения: N[90];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[9.45];  (Потребляемая мощность) Охлаждение: N[2.76];  (Потребляемая мощность) Обогрев: S[2.54];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[990x340x910];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[68];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[12.2];  (Сплит система) Площадь помещения: N[120];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[12.2];  (Потребляемая мощность) Охлаждение: N[3.81];  (Потребляемая мощность) Обогрев: S[3.68];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[990x340x910];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[73];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.64];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.64];  (Потребляемая мощность) Охлаждение: N[0.821];  (Потребляемая мощность) Обогрев: S[0.795];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[715x194x258];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.69 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[42.3 / 37.0 / 33.2];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700x270x550];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[23.1];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.2];  (Потребляемая мощность) Охлаждение: N[0.73];  (Потребляемая мощность) Обогрев: S[0.69];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[715x194x285];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.74 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[35 / 32 / 26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[681x285x434];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22.1];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[8];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.1];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.1];  (Потребляемая мощность) Охлаждение: N[0.66];  (Потребляемая мощность) Обогрев: S[0.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[708x190x263];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.73 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[34/32/30/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[696x256x432];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.1];  (Потребляемая мощность) Охлаждение: N[0.64];  (Потребляемая мощность) Обогрев: S[0.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[708x190x263];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.73 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[36/34/30/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[696x256x432];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Axioma];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.05];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.2];  (Потребляемая мощность) Охлаждение: N[0.64];  (Потребляемая мощность) Обогрев: S[0.61];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x190x255];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.65 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[712x267x459];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
