"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[2.37];  (Потребляемая мощность) Охлаждение: N[0.545];  (Рабочий ток) Обогрев: S[3.04];  (Потребляемая мощность) Обогрев: S[0.7];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.08];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[34 / 37.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[3.96];  (Потребляемая мощность) Охлаждение: N[0.91];  (Рабочий ток) Обогрев: S[4.15];  (Потребляемая мощность) Обогрев: S[0.955];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.17];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[34 / 37.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[6.78];  (Потребляемая мощность) Охлаждение: N[1.56];  (Рабочий ток) Обогрев: S[6.78];  (Потребляемая мощность) Обогрев: S[1.56];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.35];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 736 x 350];  (Наружный блок) Упаковка (Ш x Г x В): S[950 x 805 x 490];  (Наружный блок) Масса (нетто / брутто): S[49.5 / 54];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[2.39];  (Потребляемая мощность) Охлаждение: N[0.55];  (Рабочий ток) Обогрев: S[2.52];  (Потребляемая мощность) Обогрев: S[0.58];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[0.95];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 280 x 218];  (Внутренний блок) Упаковка (Ш x Г x В): S[820 x 279 x 347];  (Внутренний блок) Масса (нетто / брутто): S[7.5/9.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 530 x 278];  (Наружный блок) Упаковка (Ш x Г x В): S[785 x 631 x 412];  (Наружный блок) Масса (нетто / брутто): S[27.5 / 31.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[3.04];  (Потребляемая мощность) Охлаждение: N[0.7];  (Рабочий ток) Обогрев: S[3.83];  (Потребляемая мощность) Обогрев: S[0.88];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[0.95];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 280 x 218];  (Внутренний блок) Упаковка (Ш x Г x В): S[820 x 279 x 347];  (Внутренний блок) Масса (нетто / брутто): S[7.5/9.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 530 x 278];  (Наружный блок) Упаковка (Ш x Г x В): S[785 x 631 x 412];  (Наружный блок) Масса (нетто / брутто): S[27.5 / 31.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[4.74];  (Потребляемая мощность) Охлаждение: N[1.09];  (Рабочий ток) Обогрев: S[4.78];  (Потребляемая мощность) Обогрев: S[1.1];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.05];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 230];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 310 x 360];  (Внутренний блок) Масса (нетто / брутто): S[10/12.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[33 / 35.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[6.78];  (Потребляемая мощность) Охлаждение: N[1.56];  (Рабочий ток) Обогрев: S[7.22];  (Потребляемая мощность) Обогрев: S[1.66];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.25];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 230];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 310 x 360];  (Внутренний блок) Масса (нетто / брутто): S[10/12.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[41 / 45];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[1.3];  (Потребляемая мощность) Охлаждение: N[0.3];  (Рабочий ток) Обогрев: S[1.65];  (Потребляемая мощность) Обогрев: S[0.38];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.35];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[798 x 295 x 258];  (Внутренний блок) Упаковка (Ш x Г x В): S[850 x 356 x 350];  (Внутренний блок) Масса (нетто / брутто): S[12/14];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[40 / 43];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[2.04];  (Потребляемая мощность) Охлаждение: N[0.47];  (Рабочий ток) Обогрев: S[2.48];  (Потребляемая мощность) Обогрев: S[0.57];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.35];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[798 x 295 x 258];  (Внутренний блок) Упаковка (Ш x Г x В): S[850 x 356 x 350];  (Внутренний блок) Масса (нетто / брутто): S[12/14];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[40 / 43];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[3.5];  (Потребляемая мощность) Охлаждение: N[0.8];  (Рабочий ток) Обогрев: S[3.43];  (Потребляемая мощность) Обогрев: S[0.79];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.35];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[798 x 295 x 258];  (Внутренний блок) Упаковка (Ш x Г x В): S[850 x 356 x 350];  (Внутренний блок) Масса (нетто / брутто): S[12/14];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[40 / 43];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.49];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.621];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[980];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[795 x 294 x 250];  (Внутренний блок) Упаковка (Ш x Г x В): S[827 x 316 x 356];  (Внутренний блок) Масса (нетто / брутто): S[11/13];  (Внутренний блок) Уровень шума мин. / макс.: S[22/28/34/41];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
