"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.49];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.621];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[795x294x250];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[827x316x356];  (Внутренний блок) Масса (нетто / брутто): S[ / 13];  (Внутренний блок) Уровень шума мин. / макс.: S[22 / 41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[792x600x299];  (Наружный блок) Упаковка (Ш ? Г ? В): S[924x650x400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -20 до +24]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.778];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.8];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[795x294x250];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[827x316x356];  (Внутренний блок) Масса (нетто / брутто): S[ / 13];  (Внутренний блок) Уровень шума мин. / макс.: S[22 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[792x600x299];  (Наружный блок) Упаковка (Ш ? Г ? В): S[924x650x400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -20 до +24]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.389];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.622];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[795x294x250];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[827x316x356];  (Внутренний блок) Масса (нетто / брутто): S[ / 13];  (Внутренний блок) Уровень шума мин. / макс.: S[25 / 46];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[800x736x350];  (Наружный блок) Упаковка (Ш ? Г ? В): S[950x805x490];  (Наружный блок) Масса (нетто / брутто): S[51 / 55.5];  (Наружный блок) Максимальный уровень шума: N[51];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -20 до +24]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2];  (Сплит система) Теплопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.419];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.519];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x230];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x279x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 11];  (Внутренний блок) Уровень шума мин. / макс.: S[19 / 38];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[750x548x288];  (Наружный блок) Упаковка (Ш ? Г ? В): S[871x591x377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[44];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.4];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.549];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.733];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x230];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x279x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 11];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[750x548x288];  (Наружный блок) Упаковка (Ш ? Г ? В): S[871x591x377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[46];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.2];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.941];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x230];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x279x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 11];  (Внутренний блок) Уровень шума мин. / макс.: S[25 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[750x548x288];  (Наружный блок) Упаковка (Ш ? Г ? В): S[871x591x377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[4.2];  (Сплит система) Теплопроизводительность: N[5.4];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.12];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.317];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x230];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x279x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 11];  (Внутренний блок) Уровень шума мин. / макс.: S[25 / 46];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[792x600x299];  (Наружный блок) Упаковка (Ш ? Г ? В): S[924x650x400];  (Наружный блок) Масса (нетто / брутто): S[39 / 42.5];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.471];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.558];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x230];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x279x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 11];  (Внутренний блок) Уровень шума мин. / макс.: S[25 / 46];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[792x600x299];  (Наружный блок) Упаковка (Ш ? Г ? В): S[924x650x400];  (Наружный блок) Масса (нетто / брутто): S[39 / 42.5];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2];  (Сплит система) Теплопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.58];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.6];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x222];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x260x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 9.1];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 37];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[660x530x278];  (Наружный блок) Упаковка (Ш ? Г ? В): S[785x582x373];  (Наружный блок) Масса (нетто / брутто): S[23 / 25.3];  (Наружный блок) Максимальный уровень шума: N[45];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.4];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.7];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.85];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x222];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x260x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 9.1];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[660x530x278];  (Наружный блок) Упаковка (Ш ? Г ? В): S[785x582x373];  (Наружный блок) Масса (нетто / брутто): S[23 / 25.3];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.2];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.08];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.05];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[780x280x222];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[820x260x330];  (Внутренний блок) Масса (нетто / брутто): S[ / 9.1];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[660x530x278];  (Наружный блок) Упаковка (Ш ? Г ? В): S[785x582x373];  (Наружный блок) Масса (нетто / брутто): S[24.4 / 26.7];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +21]"
